2025-12-07 19:32:47,049 - INFO - Logging setup complete. Log file: /Users/adarshainamdar/Downloads/Major_Project-main/outputs/logs/training_pipeline.log
2025-12-07 19:56:47,196 - INFO - Epoch 2 | Val Acc: 0.4844
2025-12-07 19:56:51,721 - INFO - Epoch 3 | Val Acc: 0.6198
2025-12-07 19:56:56,293 - INFO - Epoch 4 | Val Acc: 0.5938
2025-12-07 19:57:00,817 - INFO - Epoch 5 | Val Acc: 0.5469
2025-12-07 19:57:05,358 - INFO - Epoch 6 | Val Acc: 0.5260
2025-12-07 19:57:09,942 - INFO - Epoch 7 | Val Acc: 0.6562
2025-12-07 19:57:14,506 - INFO - Epoch 8 | Val Acc: 0.6250
2025-12-07 19:57:19,055 - INFO - Epoch 9 | Val Acc: 0.6354
2025-12-07 19:57:23,586 - INFO - Epoch 10 | Val Acc: 0.7500
2025-12-07 19:57:28,299 - INFO - Epoch 11 | Val Acc: 0.6875
2025-12-07 19:57:32,816 - INFO - Epoch 12 | Val Acc: 0.7083
2025-12-07 19:57:37,475 - INFO - Epoch 13 | Val Acc: 0.6927
2025-12-07 19:57:42,042 - INFO - Epoch 14 | Val Acc: 0.8281
2025-12-07 19:57:46,691 - INFO - Epoch 15 | Val Acc: 0.8073
2025-12-07 19:57:52,234 - INFO - Epoch 16 | Val Acc: 0.7552
2025-12-07 19:57:57,035 - INFO - Epoch 17 | Val Acc: 0.7812
2025-12-07 19:58:02,125 - INFO - Epoch 18 | Val Acc: 0.6771
2025-12-07 19:58:07,176 - INFO - Epoch 19 | Val Acc: 0.7031
2025-12-07 19:58:12,068 - INFO - Epoch 20 | Val Acc: 0.8229
2025-12-07 19:58:16,938 - INFO - Epoch 21 | Val Acc: 0.8021
2025-12-07 19:58:21,975 - INFO - Epoch 22 | Val Acc: 0.8646
2025-12-07 19:58:27,125 - INFO - Epoch 23 | Val Acc: 0.8281
2025-12-07 19:58:31,926 - INFO - Epoch 24 | Val Acc: 0.8594
2025-12-07 19:58:36,657 - INFO - Epoch 25 | Val Acc: 0.7760
2025-12-07 19:58:41,288 - INFO - Epoch 26 | Val Acc: 0.8177
2025-12-07 19:58:46,369 - INFO - Epoch 27 | Val Acc: 0.7604
2025-12-07 19:58:51,139 - INFO - Epoch 28 | Val Acc: 0.7760
2025-12-07 19:58:55,866 - INFO - Epoch 29 | Val Acc: 0.7240
2025-12-07 19:59:00,531 - INFO - Epoch 30 | Val Acc: 0.8177
2025-12-07 19:59:05,411 - INFO - Epoch 31 | Val Acc: 0.8542
2025-12-07 19:59:10,246 - INFO - Epoch 32 | Val Acc: 0.8438
2025-12-07 19:59:14,970 - INFO - Epoch 33 | Val Acc: 0.8646
2025-12-07 19:59:19,670 - INFO - Epoch 34 | Val Acc: 0.8177
2025-12-07 19:59:24,286 - INFO - Epoch 35 | Val Acc: 0.8333
2025-12-07 19:59:28,948 - INFO - Epoch 36 | Val Acc: 0.7448
2025-12-07 19:59:33,557 - INFO - Epoch 37 | Val Acc: 0.8906
2025-12-07 19:59:38,439 - INFO - Epoch 38 | Val Acc: 0.8750
2025-12-07 19:59:43,143 - INFO - Epoch 39 | Val Acc: 0.8958
2025-12-07 19:59:47,920 - INFO - Epoch 40 | Val Acc: 0.8646
2025-12-07 19:59:52,517 - INFO - Epoch 41 | Val Acc: 0.8490
2025-12-07 19:59:57,143 - INFO - Epoch 42 | Val Acc: 0.8646
2025-12-07 20:00:01,799 - INFO - Epoch 43 | Val Acc: 0.8385
2025-12-07 20:00:06,434 - INFO - Epoch 44 | Val Acc: 0.8385
2025-12-07 20:00:11,076 - INFO - Epoch 45 | Val Acc: 0.9010
2025-12-07 20:00:15,779 - INFO - Epoch 46 | Val Acc: 0.9271
2025-12-07 20:00:20,554 - INFO - Epoch 47 | Val Acc: 0.8177
2025-12-07 20:00:25,257 - INFO - Epoch 48 | Val Acc: 0.8750
2025-12-07 20:00:29,964 - INFO - Epoch 49 | Val Acc: 0.8073
2025-12-07 20:00:34,638 - INFO - Epoch 50 | Val Acc: 0.9010
2025-12-07 20:00:39,341 - INFO - Epoch 51 | Val Acc: 0.8281
2025-12-07 20:00:43,931 - INFO - Epoch 52 | Val Acc: 0.8438
2025-12-07 20:00:48,693 - INFO - Epoch 53 | Val Acc: 0.8698
2025-12-07 20:00:53,273 - INFO - Epoch 54 | Val Acc: 0.8646
2025-12-07 20:00:57,998 - INFO - Epoch 55 | Val Acc: 0.8646
